"Unnamed: 0","benchmark","config","gsizes","samples","devices","timeouts","notes"
"2","amd-app-sdk-3.0-BitonicSort-bitonicSort","","","","","",""
"3","amd-app-sdk-3.0-BlackScholes-blackScholes","X","","","","","oclude can not compile/run this kernel"
"4","amd-app-sdk-3.0-FastWalshTransform-fastWalshTransform","","","","","",""
"5","amd-app-sdk-3.0-FloydWarshall-floydWarshallPass","","","","","",""
"6","amd-app-sdk-3.0-MatrixMultiplication-mmmKernel","","","","","",""
"7","amd-app-sdk-3.0-MatrixTranspose-matrixTranspose","X","","","","","oclude can not compile/run this kernel"
"13","amd-app-sdk-3.0-SimpleConvolution-simpleNonSeparableConvolution","","","","","",""
"14","amd-app-sdk-3.0-SimpleConvolution-simpleSeparableConvolutionPass1","","","","","",""
"15","amd-app-sdk-3.0-SimpleConvolution-simpleSeparableConvolutionPass2","","","","","",""
"22","npb-3.3-BT-compute_rhs5","","","","","",""
"24","npb-3.3-BT-error_norm","X","","","","","oclude can not compile/run this kernel"
"26","npb-3.3-BT-exact_rhs2","X","","","","","oclude can not compile/run this kernel"
"27","npb-3.3-BT-exact_rhs3","X","","","","","oclude can not compile/run this kernel"
"28","npb-3.3-BT-exact_rhs4","X","","","","","oclude can not compile/run this kernel"
"31","npb-3.3-BT-initialize2","X","","","","","oclude can not compile/run this kernel"
"32","npb-3.3-BT-initialize3","X","","","","","oclude can not compile/run this kernel"
"33","npb-3.3-BT-initialize4","X","","","","","oclude can not compile/run this kernel"
"34","npb-3.3-BT-initialize5","X","","","","","oclude can not compile/run this kernel"
"35","npb-3.3-BT-rhs_norm","","","","","",""
"36","npb-3.3-BT-x_solve","X","","","","","oclude can not compile/run this kernel"
"40","npb-3.3-BT-y_solve","X","","","","","oclude can not compile/run this kernel"
"44","npb-3.3-BT-z_solve","X","","","","","oclude can not compile/run this kernel"
"45","npb-3.3-BT-z_solve1","","","","","",""
"54","npb-3.3-CG-makea_0","X","","","","","oclude can not compile/run this kernel"
"57","npb-3.3-CG-makea_3","X","","","","","oclude can not compile/run this kernel"
"62","npb-3.3-EP-embar","X","","","","","oclude can not compile/run this kernel"
"63","npb-3.3-FT-cffts1","X","","","","","oclude can not compile/run this kernel"
"64","npb-3.3-FT-cffts2","X","","","","","oclude can not compile/run this kernel"
"65","npb-3.3-FT-cffts3","X","","","","","oclude can not compile/run this kernel"
"66","npb-3.3-FT-checksum","","","","","",""
"68","npb-3.3-FT-compute_initial_conditions","X","","","","","oclude can not compile/run this kernel"
"76","npb-3.3-LU-erhs4","","","","","",""
"77","npb-3.3-LU-error","X","","","","","oclude can not compile/run this kernel"
"78","npb-3.3-LU-l2norm","","","","","",""
"79","npb-3.3-LU-pintgr1","","","","","",""
"80","npb-3.3-LU-pintgr2","","","","","",""
"81","npb-3.3-LU-pintgr3","","","","","",""
"86","npb-3.3-LU-rhsz","","","","","",""
"87","npb-3.3-LU-setbv1","X","","","","","oclude can not compile/run this kernel"
"88","npb-3.3-LU-setbv2","X","","","","","oclude can not compile/run this kernel"
"89","npb-3.3-LU-setbv3","X","","","","","oclude can not compile/run this kernel"
"90","npb-3.3-LU-setiv","X","","","","","oclude can not compile/run this kernel"
"93","npb-3.3-MG-kernel_comm3_1","","","","","",""
"94","npb-3.3-MG-kernel_comm3_2","","","","","",""
"95","npb-3.3-MG-kernel_comm3_3","","","","","",""
"96","npb-3.3-MG-kernel_interp_1","","","","","",""
"97","npb-3.3-MG-kernel_norm2u3","X","","","","","oclude can not compile/run this kernel"
"98","npb-3.3-MG-kernel_psinv","","","","","",""
"99","npb-3.3-MG-kernel_resid","","","","","",""
"100","npb-3.3-MG-kernel_rprj3","","","","","",""
"102","npb-3.3-MG-kernel_zran3_1","X","","","","","oclude can not compile/run this kernel"
"103","npb-3.3-MG-kernel_zran3_2","X","","","","","oclude can not compile/run this kernel"
"104","npb-3.3-MG-kernel_zran3_3","","","","","",""
"110","npb-3.3-SP-compute_rhs5","","","","","",""
"112","npb-3.3-SP-error_norm","X","","","","","oclude can not compile/run this kernel"
"114","npb-3.3-SP-exact_rhs2","X","","","","","oclude can not compile/run this kernel"
"115","npb-3.3-SP-exact_rhs3","X","","","","","oclude can not compile/run this kernel"
"116","npb-3.3-SP-exact_rhs4","X","","","","","oclude can not compile/run this kernel"
