"Unnamed: 0","benchmark","config","gsizes","samples","devices","timeouts","notes"
"1","amd-app-sdk-3.0-BinomialOption-binomial_options","","","","","",""
"8","amd-app-sdk-3.0-PrefixSum-group_prefixSum","","","","","",""
"9","amd-app-sdk-3.0-Reduction-reduce","","","","","",""
"10","amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","","","","","",""
"11","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","","","","","",""
"12","amd-app-sdk-3.0-ScanLargeArrays-prefixSum","","","","","",""
"16","amd-app-sdk-3.0-SobelFilter-sobel_filter","","","","","",""
"17","npb-3.3-BT-add","","","","","",""
"18","npb-3.3-BT-compute_rhs1","","","","","",""
"19","npb-3.3-BT-compute_rhs2","","","","","",""
"20","npb-3.3-BT-compute_rhs3","","","","","",""
"21","npb-3.3-BT-compute_rhs4","","","","","",""
"23","npb-3.3-BT-compute_rhs6","","","","","",""
"25","npb-3.3-BT-exact_rhs1","","","","","",""
"29","npb-3.3-BT-exact_rhs5","","","","","",""
"30","npb-3.3-BT-initialize1","","","","","",""
"37","npb-3.3-BT-x_solve1","","","","","",""
"38","npb-3.3-BT-x_solve2","","","","","",""
"39","npb-3.3-BT-x_solve3","","","","","",""
"41","npb-3.3-BT-y_solve1","","","","","",""
"42","npb-3.3-BT-y_solve2","","","","","",""
"43","npb-3.3-BT-y_solve3","","","","","",""
"46","npb-3.3-BT-z_solve2","","","","","",""
"47","npb-3.3-BT-z_solve3","","","","","",""
"48","npb-3.3-CG-conj_grad_0","","","","","",""
"49","npb-3.3-CG-init_mem_0","","","","","",""
"50","npb-3.3-CG-init_mem_1","","","","","",""
"51","npb-3.3-CG-main_0","","","","","",""
"52","npb-3.3-CG-main_1","","","","","",""
"53","npb-3.3-CG-main_2","","","","","",""
"55","npb-3.3-CG-makea_1","","","","","",""
"56","npb-3.3-CG-makea_2","","","","","",""
"58","npb-3.3-CG-makea_4","","","","","",""
"59","npb-3.3-CG-makea_5","","","","","",""
"60","npb-3.3-CG-makea_6","","","","","",""
"61","npb-3.3-CG-makea_7","","","","","",""
"67","npb-3.3-FT-compute_indexmap","","","","","",""
"69","npb-3.3-FT-evolve","","","","","",""
"70","npb-3.3-FT-init_ui","","","","","",""
"71","npb-3.3-LU-blts","","","","","",""
"72","npb-3.3-LU-buts","","","","","",""
"73","npb-3.3-LU-erhs1","","","","","",""
"74","npb-3.3-LU-erhs2","","","","","",""
"75","npb-3.3-LU-erhs3","","","","","",""
"82","npb-3.3-LU-pintgr_reduce","","","","","",""
"83","npb-3.3-LU-rhs","","","","","",""
"84","npb-3.3-LU-rhsx","","","","","",""
"85","npb-3.3-LU-rhsy","","","","","",""
"91","npb-3.3-LU-ssor2","","","","","",""
"92","npb-3.3-LU-ssor3","","","","","",""
"101","npb-3.3-MG-kernel_zero3","","","","","",""
"105","npb-3.3-SP-add","","","","","",""
"106","npb-3.3-SP-compute_rhs1","","","","","",""
"107","npb-3.3-SP-compute_rhs2","","","","","",""
"108","npb-3.3-SP-compute_rhs3","","","","","",""
"109","npb-3.3-SP-compute_rhs4","","","","","",""
"111","npb-3.3-SP-compute_rhs6","","","","","",""
"113","npb-3.3-SP-exact_rhs1","","","","","",""
"117","npb-3.3-SP-exact_rhs5","","","","","",""
"118","npb-3.3-SP-initialize1","","","","","",""
"123","npb-3.3-SP-ninvr","","","","","",""
"124","npb-3.3-SP-pinvr","","","","","",""
"126","npb-3.3-SP-txinvr","","","","","",""
"127","npb-3.3-SP-tzetar","","","","","",""
"128","npb-3.3-SP-x_solve","","","","","",""
"129","npb-3.3-SP-y_solve","","","","","",""
"131","nvidia-4.2-DotProduct-DotProduct","","","","","",""
"136","nvidia-4.2-MatVecMul-MatVecMulCoalesced3","","","","","",""
"142","nvidia-4.2-VectorAdd-VectorAdd","","","","","",""
"143","parboil-0.2-bfs-BFS_kernel","","","","","",""
"151","polybench-gpu-1.0-2DConvolution-Convolution2D_kernel","","","","","",""
"152","polybench-gpu-1.0-2mm-mm2_kernel1","","","","","",""
"153","polybench-gpu-1.0-2mm-mm2_kernel2","","","","","",""
"155","polybench-gpu-1.0-3mm-mm3_kernel1","","","","","",""
"156","polybench-gpu-1.0-3mm-mm3_kernel2","","","","","",""
"157","polybench-gpu-1.0-3mm-mm3_kernel3","","","","","",""
"164","polybench-gpu-1.0-correlation-reduce_kernel","","","","","",""
"168","polybench-gpu-1.0-covariance-reduce_kernel","","","","","",""
"178","rodinia-3.1-backprop-bpnn_adjust_weights_ocl","","","","","",""
"179","rodinia-3.1-backprop-bpnn_layerforward_ocl","","","","","",""
"181","rodinia-3.1-bfs-BFS_2","","","","","",""
"184","rodinia-3.1-cfd-initialize_variables","","","","","",""
"185","rodinia-3.1-cfd-memset_kernel","","","","","",""
"186","rodinia-3.1-cfd-time_step","","","","","",""
